ID	GENE_SYMBOL
639	XLOC_002731
640	XLOC_012317
641	CTSL1P2
642	HIST1H2BL
644	LOC157273
645	TRIM36
646	THRAP3
647	FNDC3A
648	CD34
658	XLOC_007205
659	TNFSF10
660	CSN2
661	BRP44L
662	OR7C1
663	PIAS3
664	XLOC_l2_007543
665	C6orf10
666	LOXHD1
668	GK3P
669	XLOC_003016
670	AP2A2
671	PLA2G4E
672	PFAS
673	PDZRN4
674	BTBD1
676	SNORD115-4
677	CA8
678	XLOC_000893
679	XLOC_l2_015716
680	FLJ40606
681	XLOC_002730
684	XLOC_008111
685	LOC283588
686	XLOC_l2_008841
687	NXT2
688	PIGQ
689	GUSB
690	LOC100652741
692	PKP1
693	XLOC_008625
694	PRR15L
695	DCAF12L2
696	PEX14
697	RPS21
698	OTUD6B
699	XLOC_006905
701	PEBP4
702	LOC439950
703	XLOC_012667
704	IL15RA
705	RPL23AP32
706	LOC440896
707	DCTN1
708	XLOC_006166
709	MSL3
710	ARAP1
714	IFI27
715	CHD9
716	C12orf56
717	XLOC_004135
718	RANBP1
719	KIAA1211
720	ACACA
722	KCTD5
723	OCLN
725	GIMAP5
726	SYNPR
727	LOC100129119
729	CHD6
730	MOG
731	FLJ45482
732	OR2T34
733	FAM3C
734	NAPG
735	GLB1L3
736	XLOC_l2_001421
737	ENPEP
738	YDJC
740	XLOC_005919
741	FLJ23152
742	LOC100128977
743	XLOC_l2_008450
744	BAG1
745	XLOC_003911
746	ASAP3
747	FREM1
748	ALOX5
749	LOC729454
750	XLOC_006689
751	CNGA2
752	KU-MEL-3
753	C16orf5
754	FLJ31485
755	XLOC_008116
756	CHFR
757	XLOC_011006
758	CSNK2B
759	GPM6A
760	ZIC3
761	XLOC_007971
763	XLOC_008151
764	B4GALT3
765	XLOC_l2_009301
766	LOC100505697
767	DNAJC27
768	XLOC_006048
769	LOC646214
770	LOC100507086
771	C1orf35
772	BRD7P3
774	SNORD115-5
775	COQ9
776	KIAA1383
778	TBC1D21
781	XLOC_l2_005517
783	C1orf226
784	XLOC_006790
785	ING3
786	EIF2B1
787	XLOC_l2_000696
788	ZNF497
789	RIBC2
790	XLOC_012596
791	XLOC_l2_001640
792	LOC146880
793	CCDC69
794	XLOC_002078
796	C10orf120
797	SPSB3
798	IL2
